DATE,TMAX,TAVG,TMIN,PRCP
1980-01-01,10.8,9.0,8.0,0.0
1980-01-02,10.9,9.4,8.2,0.0
1980-01-03,10.3,7.1,6.1,2.5
1980-01-04,6.3,5.6,5.0,3.3
1980-01-05,7.3,6.0,5.1,0.1
1980-01-06,6.8,6.2,5.6,1.1
1980-01-07,8.8,6.9,5.5,0.4
1980-01-08,10.7,7.5,4.7,0.0
1980-01-09,12.0,7.3,3.7,0.0
1980-01-10,9.4,8.3,7.0,0.0
1980-01-11,8.5,7.3,6.4,0.5
1980-01-12,10.1,7.9,6.5,0.0
1980-01-13,8.2,7.2,6.6,0.4
1980-01-14,9.0,7.3,6.3,0.0
1980-01-15,8.3,6.7,4.7,0.0
1980-01-16,10.3,7.8,6.9,0.1
1980-01-17,11.5,7.3,3.3,0.0
1980-01-18,10.3,8.4,7.2,2.6
1980-01-19,9.4,8.1,7.0,0.2
1980-01-20,9.6,8.3,7.5,0.0
1980-01-21,12.8,8.9,5.7,0.0
1980-01-22,11.2,8.6,6.8,0.0
1980-01-23,10.2,8.8,7.5,0.0
1980-01-24,10.3,9.1,8.1,0.0
1980-01-25,13.4,9.6,6.8,0.5
1980-01-26,13.9,10.2,7.6,0.0
1980-01-27,15.8,12.3,10.0,0.0
1980-01-28,13.4,11.3,9.8,0.0
1980-01-29,11.3,6.5,4.8,8.8
1980-01-30,5.1,3.0,1.9,9.7
1980-01-31,5.6,3.2,0.9,0.0
1980-02-01,4.7,3.3,2.7,1.9
1980-02-02,5.3,4.2,3.4,0.5
1980-02-03,6.8,5.2,3.8,0.0
1980-02-04,6.1,3.4,1.3,1.4
1980-02-05,3.3,1.4,0.9,2.0
1980-02-06,2.6,1.4,0.5,0.7
1980-02-07,3.8,2.5,1.4,0.3
1980-02-08,5.6,3.7,2.3,0.0
1980-02-09,8.6,4.6,1.0,0.0
1980-02-10,6.9,5.5,4.4,0.0
1980-02-11,6.2,5.0,4.0,0.2
1980-02-12,9.8,5.8,2.1,0.0
1980-02-13,9.3,7.7,5.9,0.0
1980-02-14,9.2,7.8,6.6,0.0
1980-02-15,8.3,7.1,6.5,0.0
1980-02-16,9.1,7.4,6.1,0.0
1980-02-17,8.4,7.3,6.0,0.0
1980-02-18,11.7,8.5,6.7,0.0
1980-02-19,13.4,9.3,7.6,0.0
1980-02-20,13.8,9.4,5.8,0.0
1980-02-21,11.8,9.4,8.3,0.0
1980-02-22,14.0,10.9,9.0,0.0
1980-02-23,16.2,12.0,9.7,0.4
1980-02-24,14.1,12.2,10.7,0.0
1980-02-25,13.2,11.4,9.7,0.1
1980-02-26,11.3,9.8,8.5,5.6
1980-02-27,15.1,10.9,8.0,0.0
1980-02-28,15.7,12.8,10.7,0.0
1980-02-29,18.0,13.5,10.2,0.0
1980-03-01,19.3,14.8,10.9,0.0
1980-03-02,16.3,13.4,11.0,0.0
1980-03-03,13.7,10.5,8.7,0.9
1980-03-04,11.6,8.8,7.4,2.1
1980-03-05,11.8,9.5,7.5,0.0
1980-03-06,15.5,11.8,9.4,0.0
1980-03-07,13.6,12.5,11.7,0.0
1980-03-08,14.5,12.4,10.8,0.5
1980-03-09,18.3,13.8,9.9,0.0
1980-03-10,21.0,17.2,14.6,0.0
1980-03-11,18.6,15.7,14.0,0.0
1980-03-12,15.2,12.5,11.6,0.0
1980-03-13,12.2,10.7,8.9,0.0
1980-03-14,11.6,9.3,8.4,0.0
1980-03-15,16.1,11.5,8.8,0.0
1980-03-16,19.2,14.2,10.6,0.0
1980-03-17,19.8,16.1,13.3,0.0
1980-03-18,22.0,16.8,11.8,0.0
1980-03-19,23.2,17.7,13.2,0.0
1980-03-20,20.4,17.9,16.8,0.0
1980-03-21,17.2,15.3,14.1,1.7
1980-03-22,15.7,13.9,12.3,0.0
1980-03-23,14.7,11.7,10.6,0.1
1980-03-24,11.7,10.5,9.4,0.0
1980-03-25,11.8,10.4,8.7,0.0
1980-03-26,14.7,11.4,9.2,2.0
1980-03-27,15.1,13.1,10.7,0.0
1980-03-28,18.6,14.8,11.7,0.0
1980-03-29,22.8,16.6,11.0,0.0
1980-03-30,21.3,18.1,15.8,0.0
1980-03-31,17.6,7.6,6.6,9.0
1980-04-01,16.5,10.1,5.2,0.0
1980-04-02,17.8,13.7,9.6,0.0
1980-04-03,20.1,16.7,14.0,0.0
1980-04-04,19.1,16.7,14.0,0.0
1980-04-05,22.8,18.4,15.3,0.0
1980-04-06,26.2,20.3,15.2,0.2
1980-04-07,29.2,23.1,18.1,0.0
1980-04-08,27.7,24.1,21.0,0.0
1980-04-09,24.2,18.4,16.6,15.5
1980-04-10,22.2,18.8,16.3,0.6
1980-04-11,23.0,18.4,15.9,5.4
1980-04-12,19.8,17.4,16.5,3.9
1980-04-13,16.8,9.3,7.0,14.4
1980-04-14,17.5,11.9,7.0,0.0
1980-04-15,19.5,15.6,13.0,0.0
1980-04-16,24.6,17.6,12.6,0.0
1980-04-17,28.1,21.8,15.9,0.0
1980-04-18,29.6,24.2,19.5,0.0
1980-04-19,29.0,24.5,22.0,0.0
1980-04-20,30.4,24.6,19.5,0.0
1980-04-21,27.9,21.3,19.3,3.7
1980-04-22,21.8,19.4,18.1,3.1
1980-04-23,20.8,17.9,16.8,18.3
1980-04-24,17.4,13.6,11.7,25.8
1980-04-25,16.5,13.5,11.2,9.4
1980-04-26,17.4,14.7,12.7,7.8
1980-04-27,19.7,17.1,14.9,0.0
1980-04-28,22.7,18.5,15.6,0.1
1980-04-29,24.7,20.4,17.9,0.0
1980-04-30,27.5,22.2,18.6,0.0
1980-05-01,24.2,21.0,19.1,4.1
1980-05-02,25.7,21.6,18.3,0.0
1980-05-03,30.9,24.8,19.6,0.0
1980-05-04,30.3,25.9,22.3,0.0
