DATE,TMAX,TAVG,TMIN,PRCP
1982-02-11,10.4,9.6,8.0,0.0
1982-02-14,11.4,9.7,8.1,0.0
1982-02-16,13.7,11.5,9.9,0.0
1982-02-17,19.1,15.1,10.3,0.0
1982-02-18,18.6,16.4,14.1,0.0
1982-02-19,21.7,18.4,16.3,0.0
1982-02-20,23.0,19.7,17.1,0.0
1982-02-24,20.5,17.1,15.0,0.0
1982-03-04,19.0,17.8,15.6,0.0
1982-03-05,23.6,21.5,17.2,0.0
1982-03-06,24.3,22.1,20.4,0.0
1982-03-10,14.9,14.3,11.7,0.0
1982-03-12,21.8,19.5,17.4,0.0
1982-03-14,20.8,19.2,17.5,0.0
1982-03-15,23.4,20.9,18.7,0.0
1982-03-16,23.6,21.0,19.4,0.0
1982-03-17,22.6,20.6,18.9,0.0
1982-03-19,23.9,21.3,19.3,0.0
1982-03-20,25.3,22.2,19.9,0.0
1982-03-21,25.7,22.5,19.4,0.0
1982-03-23,25.5,22.9,21.2,0.0
1982-03-26,17.2,15.6,13.8,0.0
1982-03-27,16.4,14.9,14.0,0.0
1982-03-28,17.2,15.0,13.8,0.0
1982-03-29,20.2,16.8,13.6,0.0
1982-03-30,23.0,20.1,15.0,0.0
1982-03-31,22.5,20.6,18.3,0.0
1982-04-01,21.5,21.1,19.6,0.0
1982-04-05,17.7,16.1,13.1,0.0
1982-04-07,21.1,19.1,16.4,0.0
1982-04-09,21.2,18.9,17.4,0.0
1982-04-10,19.7,18.3,17.0,0.0
1982-04-11,21.5,19.4,16.3,0.0
1982-04-12,23.3,20.5,18.5,0.0
1982-04-13,24.8,22.2,19.0,0.0
1982-04-14,24.4,21.8,19.3,0.0
1982-04-15,23.1,21.1,19.2,0.0
1982-04-16,24.0,21.3,19.7,0.0
1982-04-17,23.5,21.3,19.6,0.0
1982-04-21,27.9,24.2,20.7,0.0
1982-05-01,25.4,23.4,21.9,0.0
1982-05-03,27.6,23.5,18.7,0.0
1982-05-04,26.0,23.6,21.2,0.0
1982-05-08,28.7,25.1,20.4,0.0
1982-05-09,29.2,26.0,23.6,0.0
1982-05-10,29.4,27.1,25.2,0.0
1982-05-11,28.6,26.9,26.0,0.0
1982-05-14,21.4,18.5,17.7,0.0
1982-05-15,23.0,21.1,18.1,0.0
1982-05-16,26.4,23.9,20.6,0.0
1982-05-17,28.2,25.3,22.4,0.0
1982-05-18,30.8,26.7,22.5,0.0
1982-05-19,30.8,27.8,24.4,0.0
1982-05-22,27.2,25.2,23.6,0.0
1982-05-23,27.0,24.9,23.5,0.0
1982-05-24,27.7,25.4,23.8,0.0
1982-05-25,28.4,25.9,24.2,0.0
1982-05-26,27.7,25.8,24.4,0.0
1982-05-27,28.0,26.2,24.8,0.0
1982-06-04,28.1,25.4,22.8,0.0
1982-06-05,27.3,25.2,23.6,0.0
1982-06-07,26.0,23.9,21.6,0.0
1982-06-10,28.6,26.7,24.0,0.0
1982-06-11,28.8,27.1,25.7,0.0
1982-06-12,29.6,27.8,26.2,0.0
1982-06-14,31.9,28.8,26.2,0.0
1982-06-15,32.1,29.1,26.7,0.0
1982-06-16,32.1,29.3,27.4,0.0
1982-06-17,32.4,29.6,27.6,0.0
1982-06-18,32.4,29.7,27.8,0.0
1982-06-19,32.4,29.8,28.2,0.0
1982-06-20,32.8,29.6,28.2,0.0
1982-06-21,32.8,29.7,27.8,0.0
1982-06-25,28.2,26.4,23.9,0.0
1982-06-26,29.4,26.6,25.2,0.0
1982-06-28,30.3,27.7,26.2,0.0
1982-07-01,27.8,26.1,24.8,0.0
1982-07-06,26.9,26.4,24.8,0.0
1982-07-07,29.0,27.2,25.0,0.0
1982-07-08,29.9,27.8,26.5,0.0
1982-07-09,30.0,27.9,26.5,0.0
1982-07-10,30.5,28.2,26.0,0.0
1982-07-11,30.8,28.8,26.6,0.0
1982-07-12,30.7,28.9,27.2,0.0
1982-07-15,31.0,29.1,26.2,0.0
1982-07-17,30.2,28.3,26.8,0.0
1982-07-18,30.8,28.4,26.9,0.0
1982-07-19,31.0,28.9,26.2,0.0
1982-07-22,31.8,29.4,27.2,0.0
1982-07-23,31.9,28.9,25.8,0.0
1982-07-24,32.4,29.6,27.4,0.0
1982-07-25,33.0,29.7,27.6,0.0
1982-07-27,31.7,29.6,27.0,0.0
1982-07-28,35.3,31.7,27.2,0.0
1982-07-31,31.0,28.4,26.2,0.0
1982-08-02,31.4,28.9,27.5,0.0
1982-08-04,32.2,29.2,27.2,0.0
1982-08-05,31.1,28.8,26.8,0.0
1982-08-06,31.8,28.9,26.8,0.0
1982-08-07,32.4,29.3,27.7,0.0
1982-08-08,29.7,27.8,26.2,0.0
1982-08-09,31.2,28.6,25.8,0.0
1982-08-10,33.0,29.3,26.6,0.0
1982-08-11,33.0,29.4,27.0,0.0
1982-08-12,33.6,30.0,27.7,0.0
1982-08-13,33.0,29.7,27.6,0.0
1982-08-19,27.0,26.0,24.0,0.0
1982-08-20,28.7,27.3,25.6,0.0
1982-08-21,30.1,27.7,26.2,0.0
1982-08-22,30.4,28.2,26.3,0.0
1982-08-23,31.2,28.6,26.5,0.0
1982-08-24,31.6,28.7,26.5,0.0
1982-08-25,31.5,28.6,27.1,0.0
1982-08-26,33.1,29.5,26.1,0.0
1982-08-27,33.2,29.3,27.1,0.0
1982-08-29,32.8,29.2,26.9,0.0
1982-08-30,33.2,29.5,27.2,0.0
1982-09-02,29.9,27.4,24.9,0.0
1982-09-04,30.7,28.6,26.8,0.0
1982-09-05,31.3,29.1,27.0,0.0
1982-09-07,29.2,27.8,25.4,0.0
1982-09-09,31.9,29.0,25.8,0.0
1982-09-11,30.0,27.6,24.6,0.0
1982-09-12,29.7,27.6,26.6,0.0
1982-09-15,30.2,28.1,25.6,0.0
1982-09-18,30.5,28.0,25.3,0.0
1982-09-19,33.1,29.4,25.8,0.0
1982-09-21,30.4,27.5,25.6,0.0
1982-09-23,29.6,27.4,25.2,0.0
1982-09-24,29.3,26.9,24.6,0.0
1982-09-25,28.8,26.9,25.2,0.0
1982-09-26,29.4,27.5,26.5,0.0
1982-09-30,27.8,26.0,25.2,0.0
1982-10-01,29.4,27.4,25.5,0.0
1982-10-04,30.0,27.5,22.8,0.0
1982-10-06,30.4,27.2,24.4,0.0
1982-10-08,28.2,25.7,22.6,0.0
1982-10-09,27.4,25.6,23.0,0.0
1982-10-10,27.8,25.7,24.1,0.0
1982-10-11,27.9,25.8,24.5,0.0
1982-10-12,27.7,25.8,22.8,0.0
1982-10-15,29.8,26.7,22.6,0.0
1982-10-18,27.2,25.2,23.0,0.0
1982-10-19,30.7,27.4,22.6,0.0
1982-10-20,26.4,25.6,25.2,0.0
1982-10-28,27.6,25.2,22.7,0.0
1982-10-29,27.9,25.1,23.6,0.0
1982-10-30,27.9,25.4,23.1,0.0
1982-10-31,28.3,25.3,23.1,0.0
1982-11-01,27.6,24.7,22.5,0.0
1982-11-02,25.0,23.8,21.7,0.0
1982-11-03,25.9,24.3,23.1,0.0
1982-11-11,20.5,17.3,12.3,0.0
1982-11-12,23.6,21.2,16.2,0.0
1982-11-13,25.8,23.3,19.5,0.0
1982-11-17,24.1,21.4,18.6,0.0
1982-11-20,23.7,21.6,17.9,0.0
1982-11-21,23.8,22.6,20.4,0.0
1982-11-23,24.6,21.0,18.9,0.0
1982-11-24,24.1,21.7,18.6,0.0
1982-11-27,22.4,20.6,17.9,0.0
1982-11-30,17.7,14.8,11.0,0.0
1982-12-01,21.0,18.2,13.5,0.0
1982-12-02,22.3,19.4,16.9,0.0
1982-12-03,22.8,20.5,17.2,0.0
1982-12-04,22.6,20.9,19.9,0.0
1982-12-07,14.3,12.3,8.2,0.0
1982-12-08,16.7,14.2,11.8,0.0
1982-12-09,20.6,17.5,13.0,0.0
1982-12-10,20.8,17.8,15.5,0.0
1982-12-12,12.0,10.1,7.0,0.0
1982-12-13,11.5,9.7,8.2,0.0
1982-12-14,16.3,12.2,7.4,0.0
1982-12-15,17.5,15.0,11.2,0.0
1982-12-18,14.5,10.8,7.1,0.0
1982-12-19,15.7,11.9,7.9,0.0
1982-12-20,17.8,13.6,9.5,0.0
1982-12-21,18.5,14.4,10.2,0.0
1982-12-22,19.4,15.1,11.4,0.0
1982-12-23,20.0,17.1,11.0,0.0
1982-12-24,20.0,18.4,16.7,0.0
1982-12-26,13.6,10.1,7.1,0.0
1982-12-27,14.7,10.7,6.7,0.0
1982-12-28,16.5,11.8,8.2,0.0
1982-12-29,19.5,14.6,8.7,0.0
1982-12-30,20.7,16.8,13.1,0.0
1982-12-31,20.8,18.1,14.8,0.0
1983-01-03,17.7,15.9,12.0,0.0
1983-01-10,9.6,8.7,7.4,0.0
1983-01-12,11.9,8.9,6.2,0.0
1983-01-13,11.0,10.1,7.6,0.0
1983-01-14,17.0,12.8,9.9,0.0
1983-01-15,19.5,15.6,11.2,0.0
1983-01-20,11.8,10.2,7.4,0.0
1983-01-24,15.6,11.5,7.3,0.0
1983-01-25,15.2,11.0,7.9,0.0
1983-01-26,16.0,12.9,8.7,0.0
1983-01-27,18.8,15.2,11.0,0.0
1983-01-29,17.8,16.3,14.2,0.0
1983-01-30,18.3,17.4,15.7,0.0
1983-02-03,15.7,12.4,8.6,0.0
1983-02-17,17.9,14.9,11.5,0.0
1983-02-18,18.8,16.3,13.2,0.0
1983-02-23,17.9,16.1,13.2,0.0
1983-02-27,14.9,14.3,12.3,0.0
1983-03-13,18.8,16.9,14.8,0.0
1983-03-16,17.9,15.7,13.2,0.0
1983-03-20,22.8,20.3,16.6,0.0
1983-03-22,24.2,23.2,21.8,0.0
1983-03-26,18.2,16.7,14.3,0.0
1983-03-28,15.8,15.2,14.5,0.0
1983-03-30,18.4,16.7,14.5,0.0
1983-04-01,20.8,18.6,15.7,0.0
1983-04-02,21.0,18.8,16.9,0.0
1983-04-03,21.9,19.3,17.2,0.0
1983-04-07,23.0,20.4,19.2,0.0
1983-04-09,27.4,25.1,23.4,0.0
1983-04-10,26.7,25.1,23.9,0.0
1983-04-11,26.3,24.8,24.0,0.0
1983-04-12,26.5,24.9,23.8,0.0
1983-04-13,26.0,24.9,24.1,0.0
1983-04-14,26.5,25.4,24.1,0.0
1983-04-19,25.1,22.7,20.8,0.0
1983-04-21,23.5,22.1,21.1,0.0
1983-04-22,25.0,23.3,21.9,0.0
1983-04-23,25.0,23.2,22.3,0.0
1983-04-24,24.9,23.7,22.4,0.0
1983-04-25,26.8,24.6,22.9,0.0
1983-04-26,27.8,25.2,23.5,0.0
1983-04-27,27.0,25.4,23.6,0.0
1983-04-28,29.2,26.2,24.8,0.0
1983-05-01,24.6,22.1,18.1,0.0
1983-05-02,24.3,22.8,21.2,0.0
1983-05-03,25.3,23.4,22.3,0.0
1983-05-04,27.0,24.6,22.7,0.0
1983-05-05,27.8,25.9,23.4,0.0
1983-05-07,27.9,25.4,23.4,0.0
1983-05-08,26.3,24.9,23.9,0.0
1983-05-09,30.0,27.0,24.5,0.0
1983-05-11,30.1,28.2,26.3,0.0
1983-05-12,30.7,28.4,26.7,0.0
1983-05-13,29.0,26.6,25.3,0.0
1983-05-14,31.1,28.7,25.6,0.0
1983-05-15,28.2,23.0,17.2,0.0
1983-05-16,25.7,23.2,18.9,0.0
1983-05-17,25.4,23.5,21.2,0.0
1983-05-18,26.6,24.6,22.9,0.0
1983-05-21,27.3,25.3,23.8,0.0
1983-05-22,27.7,26.0,24.2,0.0
1983-05-28,29.2,26.8,25.2,0.0
1983-05-29,30.7,28.2,25.4,0.0
1983-05-30,31.0,28.3,26.7,0.0
1983-05-31,31.8,28.9,26.6,0.0
1983-06-01,32.1,28.9,26.8,0.0
1983-06-02,31.1,28.8,27.4,0.0
1983-06-04,28.7,26.7,24.8,0.0
1983-06-05,28.8,26.4,24.7,0.0
1983-06-06,27.6,26.1,24.8,0.0
1983-06-07,28.3,26.4,24.5,0.0
1983-06-08,29.1,27.1,25.0,0.0
1983-06-10,29.7,27.7,26.0,0.0
1983-06-11,30.8,28.4,26.2,0.0
1983-06-12,31.9,28.9,26.6,0.0
