DATE,TMAX,TAVG,TMIN,PRCP
1980-01-01,13.4,10.8,8.3,0.0
1980-01-02,12.2,7.3,6.1,6.8
1980-01-03,6.6,5.8,4.9,6.1
1980-01-04,5.0,3.6,1.7,6.2
1980-01-05,4.2,0.6,-1.9,0.0
1980-01-06,8.3,3.8,-1.0,0.0
1980-01-07,5.3,1.6,-1.8,0.0
1980-01-08,7.4,3.3,-0.2,2.0
1980-01-09,9.1,4.4,1.4,2.2
1980-01-10,8.3,4.0,-0.4,0.0
1980-01-11,7.6,5.0,2.1,0.0
1980-01-12,8.6,6.4,4.1,16.8
1980-01-13,5.6,2.9,1.0,0.1
1980-01-14,8.2,3.1,-1.0,0.0
1980-01-15,9.6,3.4,-1.9,0.0
1980-01-16,12.8,5.5,-1.0,0.0
1980-01-17,7.4,4.0,1.0,0.0
1980-01-18,6.0,2.2,-1.6,0.0
1980-01-19,8.4,4.7,2.5,0.0
1980-01-20,7.0,3.4,0.5,0.0
1980-01-21,7.6,2.9,0.1,0.0
1980-01-22,8.9,1.9,-2.6,0.0
1980-01-23,12.8,5.0,0.0,0.0
1980-01-24,13.2,6.9,1.6,0.0
1980-01-25,9.9,8.7,7.7,13.8
1980-01-26,11.4,9.8,7.6,5.2
1980-01-27,10.8,7.7,3.6,0.0
1980-01-28,10.5,8.6,7.5,0.7
1980-01-29,7.8,3.4,0.0,6.0
1980-01-30,1.1,-4.5,-6.6,0.0
1980-01-31,-1.7,-4.8,-7.4,0.0
1980-02-01,1.5,-2.1,-5.1,0.0
1980-02-02,3.9,0.2,-3.9,0.0
1980-02-03,4.2,1.3,-1.9,0.0
1980-02-04,2.3,0.1,-2.9,0.0
1980-02-05,0.9,-2.2,-4.9,0.0
1980-02-06,1.2,-0.8,-2.8,0.0
1980-02-07,0.2,-0.9,-2.0,0.0
1980-02-08,2.3,-0.5,-2.4,0.0
1980-02-09,4.5,-0.4,-4.3,0.0
1980-02-10,5.4,0.1,-4.5,0.0
1980-02-11,8.7,2.2,-4.0,0.0
1980-02-12,6.6,3.0,-0.2,0.0
1980-02-13,7.1,2.7,-3.0,0.1
1980-02-14,5.5,4.4,2.7,0.3
1980-02-15,6.6,2.6,0.3,0.0
1980-02-16,7.9,3.3,-1.0,0.0
1980-02-17,6.8,4.5,2.0,0.2
1980-02-18,8.5,6.3,4.7,5.4
1980-02-19,7.4,5.0,2.8,0.0
1980-02-20,7.2,5.4,3.4,5.1
1980-02-21,10.2,6.4,4.9,0.0
1980-02-22,9.9,5.5,1.0,0.0
1980-02-23,9.1,6.9,3.6,1.0
1980-02-24,12.5,8.7,7.0,4.8
1980-02-25,11.9,9.3,6.4,4.1
1980-02-26,10.5,8.8,7.6,3.0
1980-02-27,8.8,6.1,4.4,1.4
1980-02-28,14.4,6.5,0.1,0.0
1980-02-29,15.5,10.6,6.1,10.9
1980-03-01,11.8,6.9,5.1,1.2
1980-03-02,10.8,6.4,1.8,3.0
1980-03-03,8.1,6.8,5.8,3.5
1980-03-04,7.2,5.9,4.4,15.0
1980-03-05,9.9,6.8,5.1,1.2
1980-03-06,9.1,7.5,5.3,5.7
1980-03-07,11.4,8.3,7.0,1.7
1980-03-08,13.9,11.4,7.0,16.1
1980-03-09,11.7,8.6,7.2,0.0
1980-03-10,7.8,5.6,4.6,0.4
1980-03-11,7.4,6.1,5.0,3.2
1980-03-12,6.4,4.7,3.7,2.0
1980-03-13,6.9,4.9,3.4,8.2
1980-03-14,7.3,4.9,3.2,1.8
1980-03-15,9.6,5.3,0.5,0.0
1980-03-16,14.6,9.7,5.7,3.1
1980-03-17,9.8,9.1,8.5,5.1
1980-03-18,9.4,7.7,5.4,4.4
1980-03-19,15.1,9.2,2.7,0.0
1980-03-20,17.6,12.8,9.7,0.0
1980-03-21,9.8,6.8,5.6,15.0
1980-03-22,5.9,5.0,3.5,3.6
1980-03-23,7.8,4.5,1.1,0.4
1980-03-24,8.8,5.0,2.7,3.5
1980-03-25,9.8,6.6,4.4,0.0
1980-03-26,14.0,9.1,5.0,0.0
1980-03-27,14.0,8.4,2.4,0.0
1980-03-28,11.1,8.5,5.7,17.7
1980-03-29,11.5,9.7,8.0,5.6
1980-03-30,14.2,9.9,4.9,19.9
1980-03-31,11.6,9.4,7.7,6.0
1980-04-01,16.0,11.1,7.6,0.1
1980-04-02,17.2,11.9,5.7,0.0
1980-04-03,17.8,13.2,9.4,0.0
1980-04-04,22.5,17.4,13.2,0.0
1980-04-05,26.5,21.0,17.5,0.1
1980-04-06,21.1,8.4,6.4,4.5
1980-04-07,16.0,10.0,4.2,0.0
1980-04-08,17.9,13.5,10.7,6.0
1980-04-09,15.7,11.2,9.0,0.0
1980-04-10,16.1,11.7,8.2,0.0
1980-04-11,21.0,15.0,10.6,0.0
1980-04-12,19.4,17.2,15.7,3.1
1980-04-13,16.5,9.5,5.0,2.2
1980-04-14,11.1,6.7,2.9,4.9
1980-04-15,13.7,9.1,2.6,1.1
1980-04-16,18.3,12.9,7.0,0.0
1980-04-17,21.7,14.7,8.1,0.0
1980-04-18,26.0,19.5,13.7,0.0
1980-04-19,26.8,21.2,17.3,0.0
1980-04-20,20.8,15.9,12.9,0.0
1980-04-21,19.8,14.6,10.1,0.0
1980-04-22,19.5,14.8,10.5,0.0
1980-04-23,17.3,13.8,10.4,0.0
1980-04-24,13.1,9.0,5.8,16.5
1980-04-25,11.8,9.9,6.5,3.0
1980-04-26,14.1,11.1,6.6,3.6
1980-04-27,16.4,12.9,10.7,4.4
1980-04-28,14.3,12.6,11.0,4.2
1980-04-29,14.1,13.0,12.1,0.0
1980-04-30,20.9,15.6,12.1,0.0
1980-05-01,21.0,15.0,7.9,0.0
1980-05-02,17.7,14.8,12.4,0.0
1980-05-03,25.3,18.8,14.4,0.0
1980-05-04,26.5,19.4,16.0,0.0
1980-05-05,24.9,19.1,14.9,0.0
1980-05-06,20.0,16.5,14.4,0.0
1980-05-07,15.3,13.2,10.0,7.6
1980-05-08,15.0,13.6,12.1,28.8
1980-05-09,22.1,15.4,9.4,0.1
1980-05-10,21.9,16.6,12.3,0.0
1980-05-11,21.5,17.6,13.4,3.4
1980-05-12,27.4,22.8,18.1,12.1
1980-05-13,28.6,23.3,17.4,0.0
1980-05-14,29.7,23.3,18.8,10.0
1980-05-15,22.3,17.2,14.4,2.9
1980-05-16,19.3,15.7,13.0,0.0
1980-05-17,20.0,15.2,10.5,0.0
1980-05-18,20.0,15.4,10.5,0.0
1980-05-19,19.1,16.8,15.0,6.2
1980-05-20,17.2,16.1,15.5,14.1
1980-05-21,22.6,17.8,14.2,0.0
1980-05-22,22.5,17.7,13.2,0.0
1980-05-23,26.3,20.9,15.4,0.0
1980-05-24,31.2,25.0,20.8,0.0
1980-05-25,32.5,26.7,23.3,0.0
1980-05-26,25.9,17.8,14.1,6.1
1980-05-27,25.4,19.1,13.0,0.0
1980-05-28,27.5,21.5,15.9,0.0
1980-05-29,27.6,22.3,17.8,0.0
1980-05-30,28.1,22.0,17.7,0.0
1980-05-31,25.3,21.4,18.1,0.0
1980-06-01,31.0,24.4,20.0,1.4
1980-06-02,24.7,21.5,18.5,0.0
1980-06-03,28.0,22.0,16.0,0.0
1980-06-04,29.7,23.5,18.0,0.0
1980-06-05,27.9,23.1,19.0,0.0
1980-06-06,28.9,24.4,20.4,0.0
1980-06-07,23.7,23.1,22.0,0.8
1980-06-08,31.4,26.2,22.5,0.0
1980-06-09,30.0,24.4,20.7,0.0
1980-06-10,23.5,20.2,18.3,34.3
1980-06-11,22.5,20.5,18.6,7.8
1980-06-12,21.4,20.4,19.2,24.1
1980-06-13,21.6,20.5,19.1,6.0
1980-06-14,30.3,24.9,20.8,0.0
1980-06-15,33.3,27.5,22.1,0.0
1980-06-16,35.0,29.2,24.9,0.0
1980-06-17,35.0,29.3,26.3,1.5
1980-06-18,26.5,22.6,20.7,49.4
1980-06-19,22.7,21.1,19.1,38.4
1980-06-20,24.1,22.4,21.1,2.3
1980-06-21,23.3,21.8,20.6,9.0
1980-06-22,27.4,24.2,21.5,0.5
1980-06-23,31.4,26.4,23.0,0.2
1980-06-24,29.9,26.5,23.9,0.0
1980-06-25,33.3,27.9,25.3,8.8
1980-06-26,31.7,27.1,23.4,4.9
1980-06-27,28.7,25.7,23.8,5.0
1980-06-28,29.2,26.0,22.0,2.4
1980-06-29,35.3,29.3,24.8,0.0
1980-06-30,34.8,30.2,25.8,0.0
1980-07-01,31.4,27.8,23.7,30.4
1980-07-02,26.5,24.0,22.4,1.3
1980-07-03,26.0,23.4,21.5,0.0
1980-07-04,30.5,25.9,22.0,0.3
1980-07-05,27.0,24.3,21.7,6.2
1980-07-06,24.8,22.9,21.5,11.5
